x,y,z,u,v,w,phi,theta,psi,p,q,r
0.2300820829777471,0.0,-0.008914257126343028,23.016288165630108,0.0,-0.8820358464485338,0.0,-4.3531308375194826e-05,0.0,0.0,8.828569184635062e-06,0.0
0.4603258709604899,0.0,-0.017629941689309835,23.032101121339934,0.0,-0.8704677252685593,0.0,-0.00034687608830546535,0.0,0.0,-0.00029451621074563544,0.0
0.6907296294219828,0.0,-0.026169007619107093,23.047630181254334,0.0,-0.8643492788714302,0.0,-0.000815807475975756,0.0,0.0,-0.0007634475984159262,0.0
0.9212920292686334,0.0,-0.03454385241760911,23.062974536376323,0.0,-0.8611699102030256,0.0,-0.0013711715643303737,0.0,0.0,-0.001318811686770544,0.0
1.1520119574634495,0.0,-0.042761714427763754,23.07818649629381,0.0,-0.8595743904349402,0.0,-0.0019702769942527426,0.0,0.0,-0.001917917116692913,0.0
1.382888416593954,0.0,-0.05082704817512326,23.093293901397534,0.0,-0.8588317876480375,0.0,-0.002590125620793076,0.0,0.0,-0.0025377657432332466,0.0
1.6139204716235265,0.0,-0.05874280638085181,23.108311636290644,0.0,-0.8585481867890405,0.0,-0.0032183453285705307,0.0,0.0,-0.003165985451010701,0.0
1.8451072216758395,0.0,-0.06651113133032402,23.123247673301275,0.0,-0.85851145396611,0.0,-0.0038482927478921286,0.0,0.0,-0.003795932870332299,0.0
2.076447785096285,0.0,-0.07413372742776095,23.13810628324922,0.0,-0.8586074288384076,0.0,-0.0044764106013426876,0.0,0.0,-0.004424050723782858,0.0
2.307941291551246,0.0,-0.08161206179799971,23.15288975218296,0.0,-0.8587747160994208,0.0,-0.005100802855158367,0.0,0.0,-0.005048442977598537,0.0
2.539586877855364,0.0,-0.08894747221462086,23.16759930220388,0.0,-0.8589803172623447,0.0,-0.0057204670681981614,0.0,0.0,-0.005668107190638332,0.0
2.771383685771997,0.0,-0.09614122511832264,23.182235586062294,0.0,-0.859206505455461,0.0,-0.006334881117402327,0.0,0.0,-0.0062825212398424975,0.0
3.003330860857191,0.0,-0.10319454677561038,23.196798952921366,0.0,-0.8594437610335979,0.0,-0.006943780866233828,0.0,0.0,-0.006891420988673997,0.0
3.235427551854997,0.0,-0.11010863999293852,23.211289591137774,0.0,-0.8596869720148005,0.0,-0.007547040640272863,0.0,0.0,-0.007494680762713033,0.0
3.4676729103838086,0.0,-0.11688469306850625,23.225707604930697,0.0,-0.8599333919358654,0.0,-0.008144609016204306,0.0,0.0,-0.008092249138644475,0.0
3.700066090776124,0.0,-0.12352388457571647,23.240053055518338,0.0,-0.8601815430327611,0.0,-0.008736474349968073,0.0,0.0,-0.008684114472408244,0.0
3.9326062499990755,0.0,-0.13002738590996685,23.254325983165312,0.0,-0.8604306275571896,0.0,-0.009322646282877762,0.0,0.0,-0.009270286405317933,0.0
4.16529254761739,0.0,-0.1363963626362581,23.268526418980436,0.0,-0.8606802120376524,0.0,-0.009903145826232711,0.0,0.0,-0.009850785948672882,0.0
4.39812414577857,0.0,-0.1426319751944557,23.282654391214592,0.0,-0.8609300580499623,0.0,-0.010478000048487233,0.0,0.0,-0.010425640170927404,0.0
4.631100209209655,0.0,-0.14873537926086147,23.296709928609292,0.0,-0.8611800315756167,0.0,-0.011047239230095983,0.0,0.0,-0.010994879352536154,0.0
4.864219905219952,0.0,-0.15470772592616644,23.31069306216475,0.0,-0.8614300544856983,0.0,-0.011610895340508291,0.0,0.0,-0.011558535462948463,0.0
5.097482403706801,0.0,-0.1605501617755193,23.324603826061605,0.0,-0.8616800785898416,0.0,-0.012169001223074235,0.0,0.0,-0.012116641345514406,0.0
5.330886877162826,0.0,-0.16626382891659802,23.33844225812981,0.0,-0.8619300717641961,0.0,-0.012721590158732567,0.0,0.0,-0.012669230281172738,0.0
5.564432500683863,0.0,-0.17184986498022686,23.35220840007533,0.0,-0.8621800105408273,0.0,-0.013268695632242155,0.0,0.0,-0.013216335754682326,0.0
5.798118451977133,0.0,-0.17730940310665644,23.36590229757756,0.0,-0.862429876151205,0.0,-0.0138103512066514,0.0,0.0,-0.01375799132909157,0.0
6.031943911369448,0.0,-0.18264357192451136,23.3795240003177,0.0,-0.8626796524148979,0.0,-0.014346590455576845,0.0,0.0,-0.014294230578017016,0.0
6.265908061815341,0.0,-0.18785349552614336,23.393073561970418,0.0,-0.8629293246133317,0.0,-0.014877446926342987,0.0,0.0,-0.014825087048783159,0.0
6.5000100889050385,0.0,-0.19294029344138233,23.40655104017596,0.0,-0.863178878889078,0.0,-0.015402954119592475,0.0,0.0,-0.015350594242032646,0.0
6.734249180872272,0.0,-0.19790508061074544,23.419956496501968,0.0,-0.863428301925323,0.0,-0.01592314547768686,0.0,0.0,-0.01587078560012703,0.0
6.9686245286018975,0.0,-0.20274896735866793,23.433289996399875,0.0,-0.863677580774619,0.0,-0.016438054377802123,0.0,0.0,-0.016385694500242295,0.0
7.203135325637324,0.0,-0.2074730593670536,23.44655160915852,0.0,-0.863926702767119,0.0,-0.01694771412753603,0.0,0.0,-0.0168953542499762,0.0
7.437780768187742,0.0,-0.21207845764930186,23.45974140785636,0.0,-0.8641756554611096,0.0,-0.01745215796186454,0.0,0.0,-0.01739979808430471,0.0
7.672560055135164,0.0,-0.2165662585248932,23.472859469313054,0.0,-0.8644244266160372,0.0,-0.017951419040828375,0.0,0.0,-0.017899059163268546,0.0
7.907472388041263,0.0,-0.22093755359457454,23.485905874040785,0.0,-0.8646730041774908,0.0,-0.018445530447620324,0.0,0.0,-0.018393170570060496,0.0
