delta_e,delta_t,delta_a,delta_r
-0.19267379454282643,0.09999999004060807,-6.977184573790752e-19,-9.219697764919983e-19
-0.16249046183848762,0.09999999004104963,-1.0548639606556927e-16,1.0300811960838017e-16
-0.13395728689840838,0.09999999004149147,5.857963548486929e-17,2.0389437244773762e-16
-0.11115141942301633,0.09999999004196201,1.2047456309527563e-16,3.369344376905602e-16
-0.09130358668835764,0.09999999004246105,7.079363139666453e-17,2.6059367152952856e-16
-0.07380930874946028,0.0999999900155832,1.0096096852771758e-16,2.943802804558104e-16
-0.059382952005699395,0.09999999001577153,6.988612540405532e-17,2.4702991439696663e-16
-0.04796855550796353,0.09999999004400575,-1.359612850297756e-16,-2.592231362245271e-16
-0.03910783937951001,0.09999999004455938,6.550207907103073e-17,1.4044530947001632e-16
-0.03219771945466052,0.09999999001636145,-1.1675850900824384e-16,-2.7138970677560304e-16
-0.026651823684522975,0.09999999004566046,-3.4037189053946166e-19,-4.500914193650933e-19
-0.021985001052482526,0.09999999004622818,-3.052199349858513e-19,-4.034997645473158e-19
-0.017844074780325014,0.09999999004680281,-3.035735664378504e-19,-4.0135942019990354e-19
-0.01400317652075217,0.09999999004738402,-1.4524268258671728e-19,-1.9252959161600473e-19
-0.010340964410601117,0.09999999004797173,-1.0570890529464006e-16,-1.9945143145581322e-16
-0.006847816475046887,0.09999999001761876,-1.057657409558755e-16,-1.9952712489486691e-16
-0.003924655392396211,0.09999999004916675,-1.0577277632504017e-16,-1.9953630855963407e-16
-0.0008707842955029924,0.09999999004977486,-1.0577818445241576e-16,-1.9954261661162898e-16
0.002163138882058044,0.09999999005039069,-1.0582214464730535e-16,-1.996011307136217e-16
0.005062929131023926,0.09999999005101473,-1.0580081323394809e-16,-1.9957296457494366e-16
0.0077561576211484205,0.09999999005164739,-1.0582106032167128e-16,-1.9959993620051805e-16
0.010209240208918375,0.09999999005228906,-1.0579426743345295e-16,-1.995649388449644e-16
0.012420583822597076,0.0999999900529401,-1.0577879745764802e-16,-1.995444618016102e-16
0.014408424720541093,0.09999999005360076,-1.0577007733107327e-16,-1.995328857441056e-16
0.016193419418038736,0.09999999001968851,-1.0578038466551908e-16,-1.9954659019351158e-16
0.017807228339298764,0.09999999005495182,-1.0579820229331676e-16,-1.9957011484220485e-16
0.019305050256855756,0.09999999005564274,-1.0578130771250394e-16,-1.9954771172744165e-16
0.020732533596067308,0.09999999005634419,-1.0579607274631021e-16,-1.995665349672536e-16
0.022124163682469684,0.0999999900570563,-3.1657694675686543e-16,-5.976272924219698e-16
0.023503423057398037,0.09999999005777935,-4.22152616276071e-16,-7.969039672912137e-16
0.02488425696425468,0.09999999005851345,-4.2267584933572257e-16,-7.975950287327619e-16
0.02627282396978927,0.09999999002149794,-4.2297469342291454e-16,-7.979915609320223e-16
0.0272512289038994,0.09999999006001556,-4.2268409569741704e-16,-7.97606112643178e-16
0.028347836738364912,0.09999999002205126,-4.2267628868502914e-16,-7.975955196802497e-16
0.029602411804358117,0.09999999006156508,-4.222063035037683e-16,-7.969744311474933e-16
0.03091413842803603,0.09999999006235871,-4.2218705991939853e-16,-7.96949131133058e-16
0.03221544321817515,0.0999999900229151,-4.2218975847204265e-16,-7.96952643073625e-16
0.033467563371282,0.09999999002321253,-4.2217242588155834e-16,-7.969296921333725e-16
0.034654172093940144,0.09999999006484249,-4.950846058767185e-16,-9.518182615562094e-16
0.03577462869872028,0.09999999006568978,-3.7548113149299764e-16,-7.007861186965898e-16
0.03683762432464585,0.09999999006652663,-4.3946732922903066e-16,-8.759786509578259e-16
0.037856207864124906,0.09999999006740186,-3.605012851785641e-16,-7.51332453805583e-16
0.03884406697221733,0.09999999006829154,-3.733632581453843e-16,-7.68486802046302e-16
0.03981312673895649,0.09999999006919588,-3.036850583083824e-16,-5.905920327717769e-16
0.04077235562025416,0.0999999900701152,-3.17503636065663e-16,-7.099464076945728e-16
0.041727481592814204,0.09999999007104972,2.3288127380125246e-16,8.916983870364018e-17
0.04268033550755943,0.09999999007199982,-2.8502243154936685e-16,-6.797120249888526e-16
0.04329770169880531,0.09999999007296531,1.7595177561505967e-16,2.3591828367979405e-16
0.04400134696132765,0.0999999900739472,1.827124715048667e-16,2.4429674751950393e-16
0.0445729959600123,0.09999999007494519,2.387594280671134e-16,2.7824690899210324e-16
0.04468761492123625,0.09999999007595854,2.3863661835238944e-16,2.780831733523886e-16
0.044821043902160476,0.09999999007698959,2.9326736733146e-16,3.1471220260167957e-16
0.04494382067923907,0.09999999007803875,3.1496890092649344e-16,3.3914774086690845e-16
0.04504064132881275,0.09999999002869822,3.1509203858121817e-16,3.393114306036296e-16
0.04510657536045702,0.09999999008019304,3.149994744544837e-16,3.391889038897805e-16
0.045143711992420746,0.09999999008129895,3.1514990976820187e-16,3.3938912754047974e-16
0.045157905145498924,0.09999999008242454,3.837163063720916e-16,3.944180990504984e-16
0.04515642787577917,0.09999999003031759,2.1767565419097138e-16,3.2715715539362694e-16
0.04514623188177899,0.09999999003074066,3.1677057846908235e-16,5.978838143869246e-16
0.045132998559675404,0.09999999008597515,3.165052652105255e-16,5.975447822173614e-16
0.045120757532961714,0.09999999008717757,3.164007925387255e-16,5.974116144923969e-16
