u,w,q,theta,h,x,v,p,r,phi,psi,y
24.598779519684488,-1.932457574828452,-0.8658543471384509,-0.046161681575222,-0.04288724233158079,2.479702828651578,0.17551065542786803,0.8257156508729963,-0.08243831484795178,0.4015533252608514,-0.012089508182858956,0.030613769656061367
24.254946479009927,-4.275860290133148,-1.0471975611288769,-0.14395166354177816,-0.1217212902797618,4.921810763836444,0.3131780540608321,1.0471975456989961,0.054531751317214494,0.6327593380837059,-0.013382400082696113,0.09109726013125831
23.995298420240648,-6.028957025952502,-1.0471975603439938,-0.2501601753288412,-0.14858410542003062,7.333605628790314,0.26626608001697977,1.0471975053156621,0.19985834210983253,0.7391202973369434,0.0008178733552523635,0.13419309583100908
23.827507987146223,-7.209530808815109,-1.0471975581794153,-0.35588264330261415,-0.055421516982943814,9.723926330480687,0.08673925264861439,0.976275803902164,0.378083124369747,0.7853981181299118,0.031897030068765195,0.10484979545312659
23.745927933032426,-7.222044453925773,-0.3660467330777155,-0.4260017098386127,0.20136287386955887,12.101891461169398,-0.027656831614648714,0.8529816159960222,0.35513722547707954,0.7853981402981549,0.06842050182163788,-0.020008489206334894
23.69951572070842,-4.943193959634353,1.0471975293807196,-0.3888600486072173,0.6196095352725309,14.474033552349015,-0.011907266427782207,0.6946944121274574,0.29441337151384955,0.7853981435025035,0.1009776432717792,-0.23186351958972773
23.605519154604213,-2.026507590691692,1.047197504351037,-0.28166440263472525,1.1195122713525525,16.839584010065472,0.02496853148743476,0.5366691647493859,0.28756536312258,0.7853981476154613,0.13111481725137925,-0.5194249043411476
23.437709151720977,-0.11548156123862596,0.9851117805359535,-0.17847721729443514,1.594690187031563,19.192114118392524,0.02650865451232914,0.42114724076387067,0.30609798633386437,0.7853981483796566,0.1618153424355983,-0.8825988572116088
23.194101871557447,0.9999910806918575,0.873927460081252,-0.08466884199661863,1.9724590518504173,21.524115785408178,0.01356923246010986,0.3413133999766609,0.3129075782278602,0.7853981487315707,0.19330758804449458,-1.3245478942236424
22.89203264796953,0.3605448214852201,-0.25516381796003107,-0.05519229066417317,2.2147042692184526,23.82852969323837,0.009227798934253156,0.27675681224456317,0.30851739436143333,0.7853981489700376,0.22468722994099538,-1.8456617419182455
22.592829730139083,-1.5334108974182845,-0.5839198481763852,-0.09902202511952088,2.344125668897601,26.10248493494367,0.011918275365789016,0.22077859622442647,0.3053086358342263,0.7853981491608791,0.2556855403879882,-2.444684566576152
22.32686507244032,-2.63659956484186,-0.15898363692134854,-0.13675829920918867,2.4279074903116777,28.34819434730707,0.01357988913553511,0.17519954434405247,0.3060523608064818,0.7853981493031175,0.28655480505322967,-3.1209465957983946
22.079104418211045,-2.6742068829109504,0.0923124693699302,-0.1399196472918825,2.509106163698229,30.56839151892852,0.012770506552647104,0.139987013030365,0.3073354385606787,0.7853981494040584,0.3174585016483446,-3.874509354102397
21.833123449056906,-2.45215145856464,0.08778097996056464,-0.13073046585357193,2.592846896243392,32.763969852369065,0.011785287180072703,0.11239006979658382,0.3074260550217609,0.7853981583483514,0.34836393824576023,-4.705453026561918
21.587683225396667,-2.4980137646870784,-0.08727391553220583,-0.1308867818882499,2.6733060453789856,34.934926808720235,0.011627224976198534,0.0900453994201644,0.30705091225364123,0.7853981495401556,0.3792190965299591,-5.613651851207536
21.34867067980578,-2.4640126219666754,0.10884530228285469,-0.12962008659779134,2.7519299334892993,37.081673779434176,0.01176468125059529,0.07192734784513587,0.30695066710300234,0.7853981495889406,0.4100301465819625,-6.598949698046271
21.1120269467968,-2.522592515443895,-0.1351685639500176,-0.13118481503661084,2.8295073654689724,39.204616735695026,0.011730298070991145,0.05747114185042409,0.30706732491448663,0.7853981496273691,0.440822065732685,-7.661271281906588
20.883105183360428,-2.435556501018737,0.17297185618155356,-0.12897035087021405,2.9080012822162353,41.304308849197696,0.011581484462830869,0.04600267654169164,0.3071408214925564,0.7853981584128581,0.47160381178241106,-8.800586579138406
20.653096836760984,-2.3378062911711437,-0.06045873359989064,-0.12345192376172966,2.9862221980692354,43.381069822676615,0.011481753930151337,0.03684371522378179,0.3071296982507979,0.7853981496795934,0.5023732832070673,-10.016862360781115
20.427976068012047,-2.400497562971199,0.016564045335195468,-0.1256374974303741,3.0614469607022685,45.43503628815645,0.011446646991706095,0.02949297050515399,0.30711105250309295,0.7853981497006399,0.5331302754206112,-11.310059910793697
20.206557055643636,-2.309017180526842,0.060857791903615704,-0.12165298850933515,3.1363375162550295,47.46671049876071,0.01142282756326726,0.023605334815346265,0.3071167106671971,0.7853981584341061,0.5638780206272501,-12.680148440277076
19.98631812086888,-2.261748922799132,0.003459638736348181,-0.11844396587124487,3.2090505923610295,49.4762993897327,0.01139012387214214,0.018904210414467704,0.30712935827988036,0.7853981497282889,0.5946194215890499,-14.127107373769245
19.769839302514587,-2.3270856144381344,-0.04004573561795528,-0.12036440778526943,3.278887481057492,51.464024461477706,0.01135558775296936,0.015150452066400259,0.3071396545147043,0.7853981497378513,0.6253560708251157,-15.650921901922569
19.55838348630559,-2.25382726805467,0.09180249726180534,-0.11760737483646384,3.3484513624841186,53.430381162276575,0.011335048883336463,0.0121493677676582,0.3071344222911377,0.7853981497458727,0.65608813999157,-17.251578204134184
19.348113644250898,-2.2509860000047897,-0.06691581709430577,-0.11649003050771542,3.416820046989896,55.37564061686395,0.011320545161687371,0.009744896344822455,0.3071388814762029,0.7853981497521408,0.6868166678262233,-18.929064855148525
